id,name,name_en,muscle_group,instructions,equipment,secondary_muscles
19c42f40-a8df-4768-bb89-ff66c38eae54,○ étirement des muscles de la cuisse,Knee to Chest Stretch,Fessiers,"{""setup"":[""Assis sur le sol avec les jambes étendues."",""Placer les mains derrière vous pour vous appuyer si nécessaire."",""Respirez calmement et détendez-vous."",""Gardez la colonne vertébrale droite.""],""movement"":[""Ramenez une cuisse vers le torse en saisissant le genou avec la main."",""Poussez doucement le genou vers l'abdomen."",""Rester dans cette position pendant quelques secondes."",""Relâchez et répétez de l'autre côté.""],""breathing"":[""Respirez calmement tout au long de l'exercice."",""Inspirez lorsque vous vous étirez et expirez lors de la relaxation.""],""common_mistakes"":[""Ne pas maintenir une respiration régulière."",""Forcer trop fort ce qui peut causer des blessures."",""Ne pas garder le dos droit.""]}",bodyweight,Ischios
1499d592-dd22-48ed-9bc1-148aa85f30b4,Ab rollout barre,Barbell Ab Rollout,Abdos,"{""setup"":[""Placez-vous à genoux devant la barre avec vos mains sur elle."",""Écartez vos mains plus largement que vos épaules."",""Assurez-vous que vos pieds sont à plat et que votre corps est droit."",""Prenez la barre avec vos mains et déplacez-la vers vos pieds.""],""movement"":[""Commencez en position de départ, genoux pliés et pieds à plat."",""Poussez avec vos mains pour rouler la barre vers vos pieds."",""Continuez jusqu'à ce que votre corps soit à peu près parallèle au sol."",""Rappelez-vous de garder votre corps droit tout au long de l'exercice.""],""breathing"":[""Respirez profondément et lâchez votre souffle lentement tout au long de l'exercice.""],""common_mistakes"":[""Ne pliez pas les genoux trop bas, cela peut entraîner des blessures."",""Assurez-vous de ne pas laisser votre bassin s'abaisser vers le sol."",""Ne roulez pas trop loin avec la barre, cela peut entraîner une surcharge sur les épaules.""]}",barbell,
22dc0b25-faad-4d0d-9aa2-1bea583bd86a,Abduction hanches assis,Seated Hip Abduction,Fessiers,"{""setup"":[""Assis sur une chaise avec les jambes étendues devant vous."",""Plantez les pieds à plat et maintenez la colonne vertébrale droite."",""Placez les mains derrière vous pour stabiliser le tronc."",""Gardez le buste droit et les épaules baissées tout au long de l'exercice.""],""movement"":[""Lever lentement le genou droit vers le haut, tout en gardant le pied droit à plat."",""Rappelez-vous de ne pas lever trop haut pour éviter les mouvements de rotation."",""Rappelez-vous de ne pas utiliser les bras pour aider à lever la jambe."",""Rappelez-vous de ne pas tirer la hanche vers le haut.""],""breathing"":[""Respirez naturellement tout au long de l'exercice."",""Inspirez lors de la phase de descente et expirez lors de la phase de levée.""],""common_mistakes"":[""Ne pas maintenir la colonne vertébrale droite."",""Utiliser les bras pour aider à lever la jambe."",""Tirer la hanche vers le haut."",""Lever la jambe trop haut, ce qui peut entraîner des mouvements de rotation.""]}",bodyweight,
bb3be6e0-0850-4612-ae6a-a2ff9f9bd11e,Abduction hanches machine,Machine Hip Abduction,Fessiers,"{""setup"":[""Assis sur la machine, placez vos hanches fermement contre le support."",""Placez vos pieds sur les barres de l'équipement."",""Gardez votre dos droit et votre tête alignée avec votre colonne vertébrale."",""Soyez sûr de ne pas utiliser vos mains pour vous soutenir.""],""movement"":[""Lever doucement vos jambes vers le haut, en gardant vos genoux droits."",""Retournez lentement vos jambes vers leur position initiale."",""Répétez l'exercice 10 à 15 fois pour un set.""],""breathing"":[""Respirez profondément et régulièrement tout au long de l'exercice."",""Exhale doucement lorsque vous levez vos jambes."",""Respirez naturellement lors du retour à la position initiale.""],""common_mistakes"":[""Ne pas maintenir une position stable et droite du corps."",""Utiliser les mains pour soutenir le corps."",""Ne pas maintenir les genoux droits pendant l'exercice."",""Faire des mouvements rapides et brusques au lieu de les effectuer lentement et contrôlés.""]}",bodyweight,
7eefe1b3-b826-422b-95ee-400ee2e9b14b,Abduction hanches supination,Supine Hip Abduction,Fessiers,"{""setup"":[""Allongez-vous sur le dos avec les genoux pliés et les pieds sur le sol."",""Placez un dumbbell entre vos chevilles, les bras tendus vers le plafond."",""Assurez-vous que votre dos est bien appuyé sur le sol."",""Pliez les hanches légèrement pour maintenir une courbe naturelle dans le dos.""],""movement"":[""Lever les jambes vers le plafond en gardant les genoux pliés."",""Concentrez-vous sur l'extension des fessiers."",""Retournez lentement les jambes vers le sol en contrôlant le mouvement."",""Répétez pour un total de 10 à 15 répétitions.""],""breathing"":[""Respirez profondément et lissez votre respiration tout au long du mouvement."",""Inspirez lorsque vous vous concentrez sur l'extension des fessiers."",""Exhalez lorsque vous retournez les jambes vers le sol.""],""common_mistakes"":[""Ne pliez pas les hanches ou le dos pendant le mouvement."",""Ne faites pas glisser les jambes sur le sol."",""Ne poussez pas trop fort avec les jambes pour lever les hanches."",""Assurez-vous que le dumbbell reste entre les chevilles tout au long du mouvement.""]}",dumbbell,
a734caec-afb3-4c27-b1b7-62e038a7d3d3,Adduction de Copenhague,Copenhagen Adduction Exercise,Fessiers,"{""setup"":[""Assis sur le banc, placez vos pieds à plat au sol, écartés à la largeur des hanches."",""Appuyez votre dos contre le banc et maintenez votre tête et votre dos alignés."",""Relâchez votre bassin et maintenez une position neutre de la colonne vertébrale."",""Placez vos mains derrière votre tête ou sur vos cuisses pour stabiliser votre tronc.""],""movement"":[""Poussez vos genoux vers l'avant en gardant vos hanches immobiles et vos pieds à plat."",""Continuez jusqu'à ce que vos genoux soient à environ 45 degrés par rapport au sol."",""Revenez lentement à la position initiale en contrôlant le mouvement."",""Répétez pour 10 à 15 répétitions.""],""breathing"":[""Respirez profondément et régulièrement tout au long de l'exercice."",""Inspirez lors de la phase de descente et expirez lors de la phase de poussée.""],""common_mistakes"":[""Ne permettez pas votre bassin de se lever ou de se pencher vers l'avant."",""Assurez-vous que vos genoux ne dépassent pas vos pieds."",""Ne roulez pas vos hanches vers l'extérieur."",""Concentrez-vous sur le contrôle de l'exercice plutôt que sur le nombre de répétitions.""]}",bench,Abdos; Abdos; Trapèzes
ec5fba82-052c-4146-8fff-875a0ccf4f58,Adduction hanches assis,Seated Hip Adduction,Fessiers,"{""setup"":[""Assis sur une chaise avec les pieds posés sur le sol."",""Les jambes sont écartées et les genoux sont légèrement fléchis."",""Les bras peuvent être posés sur les accoudoirs de la chaise ou sur les genoux."",""Le dos doit être droit et la tête droite.""],""movement"":[""Passez les pieds l'un vers l'autre en gardant les genoux fléchis."",""Revenez lentement à la position initiale."",""Répétez l'exercice plusieurs fois."",""Assurez-vous de contrôler le mouvement tout au long de l'exécution.""],""breathing"":[""Respirez naturellement tout au long de l'exercice."",""Ne retenez pas votre respiration."",""Respirez profondément et régulièrement.""],""common_mistakes"":[""Ne pas contrôler le mouvement, ce qui peut entraîner une mauvaise posture."",""Écartant trop les jambes, ce qui peut entraîner une surcharge des genoux."",""Ne pas garder les genoux fléchis, ce qui peut entraîner une mauvaise position des hanches."",""Faire l'exercice trop rapidement, ce qui peut entraîner une mauvaise technique.""]}",bodyweight,
1de2307f-dc6f-4d8e-bd41-3c7e2f98376d,Applaudissements au-dessus de la tête,Claps over the head,Épaules,"{""setup"":[""Placez-vous debout avec les pieds écartés à la largeur des épaules."",""Relaxez vos bras le long de votre corps."",""Assurez-vous que votre dos est droit et que votre tête est alignée avec votre colonne vertébrale."",""Faites face à un miroir si possible pour vérifier votre posture.""],""movement"":[""Lèvez vos bras au-dessus de votre tête en gardant vos coudes légèrement flexionnés."",""Appuyez sur vos pieds pour ajouter de la puissance à l'exercice."",""Faites un mouvement de va-et-vient en maintenant la position des bras."",""Rappelez-vous de ne pas plier les genoux ou de ne pas laisser vos coudes s'ouvrir.""],""breathing"":[""Respirez profondément et régulièrement tout au long de l'exercice."",""Inspirez lorsque vous commencez à lever vos bras et expirez lorsque vous les ramenez."",""Assurez-vous de ne pas retenir votre respiration.""],""common_mistakes"":[""Ne pas maintenir une bonne posture, ce qui peut entraîner des douleurs dans le dos."",""Plier les genoux, ce qui diminue l'efficacité de l'exercice et peut causer des blessures."",""Ouvrir les coudes, ce qui peut entraîner une tension supplémentaire dans les épaules."",""Ne pas utiliser la puissance des pieds, ce qui peut réduire l'efficacité de l'exercice.""]}",bodyweight,
c45bc861-6ea2-42de-968d-3f2ae3d0e38c,Arabesque,Arabesque,Ischios,"{""setup"":[""Placez-vous devant un miroir pour bien visualiser votre position."",""Écartez vos jambes d'environ 45 degrés."",""Pliez légèrement les genoux pour commencer."",""Gardez votre tronc droit et votre dos droit.""],""movement"":[""Lever la jambe arrière tout en gardant le genou droit."",""Pliez le genou de la jambe avant pour maintenir l'équilibre."",""Portez la jambe arrière au niveau de la hanche."",""Rappelez-vous de garder le dos droit tout au long de l'exercice.""],""breathing"":[""Respirez profondément et régulièrement tout au long de l'exercice."",""Inspirez lorsque vous commencez à lever la jambe arrière."",""Exhalez lorsque vous maintenez la jambe levée."",""Concentrez-vous sur votre respiration pour maintenir l'équilibre.""],""common_mistakes"":[""Ne pas garder le dos droit peut entraîner des douleurs lombaires."",""Plonger le genou de la jambe levée peut entraîner une blessure."",""Ne pas maintenir l'équilibre peut entraîner une chute."",""Ne pas respirer correctement peut entraîner une fatigue prématurée.""]}",bodyweight,
302e23fd-50cb-4719-aa20-370690de80c7,Arnold Press Haltères,Arnold Shoulder Press,Épaules,"{""setup"":[""Asseyez-vous sur un banc avec dossier, un haltère dans chaque main."",""Amenez les haltères au niveau des épaules, paumes vers vous."",""Gardez le dos droit et les pieds à plat au sol.""],""movement"":[""Poussez les haltères vers le haut en tournant les paumes vers l'avant."",""Tendez les bras au-dessus de la tête sans verrouiller les coudes."",""Redescendez en inversant la rotation jusqu'à la position initiale.""],""breathing"":[""Expirez en poussant les haltères vers le haut."",""Inspirez en redescendant à la position de départ.""],""common_mistakes"":[""Arquer excessivement le dos pendant la poussée."",""Utiliser un élan du corps pour monter les haltères."",""Négliger la rotation complète des poignets."",""Verrouiller les coudes en haut du mouvement.""]}",dumbbell,
