wger_id,name_en,name_fr,translation_source,needs_review
57,"Bear Walk 2","Bear Walk 2",mymemory,true
822,"Cable Rear Delt Fly","Câble Delt Fly arrière",mymemory,true
805,"Tricep Pushdown on Cable","Pousser le triceps vers le bas sur le câble",mymemory,true
980,"commando pull-ups","pull-ups commando",mymemory,true
1022,"Single Arm Plank to Row","Planche à bras unique vers la rangée",mymemory,true
56,"Abdominal Stabilization","Stabilisation abdominale",mymemory,true
828,"Incline Bench Reverse Fly - Hello","Vol inversé du banc incliné - Bonjour",mymemory,true
907,"Handstand Push Up","Pousser le support manuel vers le haut",mymemory,true
923,"LYING DUMBBELL ROW SS SEATED SHRUG","RANGÉE D'HALTÈRES ALLONGÉS SS ASSIS EN HAUSSANT LES ÉPAULES",mymemory,true
927,"Suspended crossess","Crossess suspendu",mymemory,true
958,"Biceps with TRX","Biceps avec TRX",mymemory,true
960,"Kettlebell Swing","Balançoire Kettlebell",mymemory,true
975,"one-handed kettlebell curls","boucles kettlebell à une main",mymemory,true
976,"Medicine ball booklet crunch","Crunch du livret de balles médicinales",mymemory,true
977,"Коробочный присед","Коробочный присед",mymemory,true
978,"Knee Raises","Élévation des genoux",mymemory,true
12,"Seated Hip Adduction","Adduction de la hanche assise",mymemory,true
46,"Barbell Lunges Standing","Fentes de barbelé debout",mymemory,true
41,"Barbell Ab Rollout","Panneau déroulant Barbell Ab",mymemory,true
50,"Barbell Triceps Extension","Rallonge de triceps Barbell",mymemory,true
962,"Elliptical","Vélo elliptique",mymemory,true
909,"Reverse Nordic Curl","Boucle nordique inversée",mymemory,true
912,"Straight Bar Cable Curls","Boucles de câble droites",mymemory,true
924,"Cable Fly","Système de câble Fly (+)",mymemory,true
959,"TRX Rows","Lignes TRX",mymemory,true
979,"Leg raises pull up bar","La jambe soulève la barre de traction vers le haut",mymemory,true
92,"Biceps Curls With Dumbbell","Boucles de biceps avec haltères",mymemory,true
83,"Bent Over Rowing","Courbé sur aviron",mymemory,true
81,"Bent Over Dumbbell Rows","Courbé sur les rangées d'haltères",mymemory,true
94,"Biceps Curls With SZ-bar","Boucles de biceps avec barre SZ",mymemory,true
75,"Benchpress Dumbbells","Développé couché avec haltères",wger,false
91,"Biceps Curls With Barbell","Curls stricts barre",wger,false
73,"Bench Press","Développé couché",wger,false
76,"Bench Press Narrow Grip","Poignée étroite de la presse de banc",mymemory,true
95,"Biceps Curl With Cable","Boucle des biceps avec câble",mymemory,true
71,"Single Leg Extension","Extension d'une jambe",mymemory,true
79,"Bent High Pulls","Bent High Pulls",mymemory,true
1630,"Blaze","Blaze",mymemory,true
265,"Glute Bridge","Pont fessier",mymemory,true
1697,"Lat Pulldown (Wide Grip)","Tirage latéral prise large",wger,false
910,"Nordic Curl","Boucle nordique",mymemory,true
913,"Reverse Preacher Curl (Close Grip)","Reverse Preacher Curl (Fermer la poignée)",mymemory,true
925,"SMITH MACHINE SLIGHT INCLINE PRESS","PRESSE À LÉGÈRE INCLINAISON POUR MACHINE SMITH",mymemory,true
158,"Close-grip Lat Pull Down","Tirette Lat à prise étroite vers le bas",mymemory,true
124,"Braced Squat","Squat renforcé",mymemory,true
51,"Barbell Wrist Curl","Boucle de poignet Barbell",mymemory,true
146,"Calf Press Using Leg Press Machine","Presse à mollets à l'aide d'une presse à jambes",mymemory,true
154,"Chin-ups","Chin-ups",mymemory,true
148,"Calf Raises on Hackenschmitt Machine","Élévations de mollets sur la machine Hackenschmitt",mymemory,true
137,"Butterfly Narrow Grip","Poignée papillon étroite",mymemory,true
135,"Butterfly","""Butterfly""",mymemory,true
172,"Crunches on Machine","Crunch assis machine",wger,false
171,"Incline Crunches","Incliner les craquements",mymemory,true
139,"Butterfly Reverse","Butterfly Reverse",mymemory,true
167,"Crunches","Abdominaux",wger,false
174,"Crunches With Legs Up","Crunchs avec les jambes en l'air",mymemory,true
129,"Chest Press","Supino",mymemory,true
161,"Cross-Bench Dumbbell Pullovers","Pull-over Cross-Bench Dumbbell",mymemory,true
177,"Cycling","Cyclisme",mymemory,true
145,"Cable Woodchoppers","Câble Woodchoppers",mymemory,true
235,"Flutter Kicks","Battements de jambes",mymemory,true
184,"Deadlifts","Deadlifts.",mymemory,true
222,"Facepull","Facepull",mymemory,true
203,"Dumbbell Goblet Squat","Squat de gobelet avec haltères",mymemory,true
185,"Decline Bench Press Barbell","Déclin de la presse de banc Barbell",mymemory,true
186,"Decline Bench Press Dumbbell","Haltère de la presse d'établi à décliner",mymemory,true
205,"Dumbbell Lunges Standing","Fentes d'haltères debout",mymemory,true
914,"Reverse EZ Bar Cable Curls","Boucles de câble de la barre EZ inversée",mymemory,true
926,"Machine chest fly","Braguette poitrine machine",mymemory,true
188,"Decline Pushups","Refuser les pushups",mymemory,true
237,"Fly With Cable","dont le câble",mymemory,true
206,"Dumbbell Lunges Walking","Fentes d'haltères en marche",mymemory,true
239,"Fly With Dumbbells, Decline Bench","Volez avec des haltères, baissez le banc",mymemory,true
238,"Fly With Dumbbells","avec des haltères",mymemory,true
204,"Dumbbell Incline Curl","Curls biceps inclinés",wger,false
211,"Dumbbell Triceps Extension","Extension du triceps de l'haltère",mymemory,true
194,"Dips","Dips",mymemory,true
197,"Dips Between Two Benches","Trempette entre deux bancs",mymemory,true
208,"Dumbbells on Scott Machine","Haltères sur Scott Machine",mymemory,true
254,"Front Raises with Plates","Élévations avant avec plaques",mymemory,true
283,"Hanging Leg Raises","Élévations des jambes pendantes",mymemory,true
256,"Front Raises","Élévations avant",mymemory,true
301,"Hyperextensions","Extension du dos machine",wger,false
291,"Hindu Squats","Squats hindous",mymemory,true
257,"Front Squats","Squats avant",mymemory,true
285,"High Knee Jumps","Sauts en hauteur aux genoux",mymemory,true
275,"Hammercurls on Cable","Hammercurls sur câble",mymemory,true
901,"Barbell Hip Thrust","Poussée de hanche Barbell",mymemory,true
915,"BUS DRIVERS","Chauffeurs de bus",mymemory,true
272,"Hammer Curls","Boucles de marteau",mymemory,true
245,"Skullcrusher Dumbbells","Haltères Skullcrusher",mymemory,true
246,"Skullcrusher SZ-bar","Crâne concasseur SZ-bar",mymemory,true
259,"Front Pull narrow","Tirer à l'avant étroit",mymemory,true
258,"Front pull wide","Tirer à l'avant large",mymemory,true
284,"Hercules Pillars","Piliers Hercules",mymemory,true
282,"Handstand Pushup","Poussée du support à main",mymemory,true
294,"Hip Thrust","relevé de bassin",mymemory,true
289,"High Pull","Tirage haut",mymemory,true
297,"Hollow Hold","Hollow Hold",mymemory,true
1634,"Rope Pullover/row","Pull en corde/rangée",mymemory,true
1637,"Single arm row","Rangée de bras unique",mymemory,true
1638,"Barbell Clean and press","Barbell Nettoyer et presser",mymemory,true
268,"Good Mornings","Bonjour",mymemory,true
827,"Front Plate Raise","Élévation de la plaque avant",mymemory,true
365,"Leg Curls (laying)","Boucles de jambe (pose)",mymemory,true
354,"Lat Pull Down (Leaning Back)","Lat Tirer vers le bas (en se penchant vers l'arrière)",mymemory,true
355,"Lat Pull Down (Straight Back)","Tirage vertical à la poulie haute",wger,false
366,"Leg Curls (sitting)","Leg Curl assis",wger,false
349,"Lateral Rows on Cable, One Armed","Rangées latérales sur le câble, une armée",mymemory,true
348,"Lateral Raises","Élévations latérales",wger,false
902,"Barbell Hip Thrust","Poussée de hanche Barbell",mymemory,true
916,"Smith Press","Smith Press",mymemory,true
314,"Isometric Wipers","Essuie-glaces isométriques",mymemory,true
364,"Leg Curl","Flexion des jambes",mymemory,true
351,"Lateral-to-Front Raises","Élévations latérales à frontales",mymemory,true
313,"Incline Push up","Incliner Pousser vers le haut",mymemory,true
341,"Squats on Multipress","Squats sur Multipress",mymemory,true
308,"Incline Dumbbell Fly","Mouche d'haltère inclinée",mymemory,true
320,"Jumping Jacks","Sauts en étoile",wger,false
312,"Incline Plank With Alternate Floor Touch","Planche inclinée avec contact au sol alternatif",mymemory,true
331,"Kettlebell Swings","Balançoires Kettlebell",mymemory,true
346,"Landmine press","Développé vertical à la barre",mymemory,true
323,"Cable Cross-over","Croisement de câbles",mymemory,true
380,"Leverage Machine Iso Row","Tirer parti de la machine Iso Row",mymemory,true
395,"Long-Pulley, Narrow","Poulie longue, étroite",mymemory,true
427,"Negative Crunches","Crunchs négatifs",mymemory,true
386,"Diamond push ups","3. Pompes en diamant",mymemory,true
378,"Leg Raises, Standing","Élévations des jambes, debout",mymemory,true
917,"Straight Bar Cable Front Raise","Élévation avant de câble de barre droite",mymemory,true
379,"Leverage Machine Chest Press","Tirer parti de la presse thoracique de la",mymemory,true
957,"Quadriped Arm and Leg Raise","Élévation quadripède des bras et des jambes",mymemory,true
377,"Leg Raises, Lying","Élévations des jambes, allongement",mymemory,true
376,"Leg Raise","Levées de jambe",wger,false
394,"Long-Pulley (low Row)","Poulie longue (rangée basse)",mymemory,true
397,"Low Box Squat - Wide Stance","Squat box bas - Position large",mymemory,true
367,"Leg Curls (standing)","Boucles de jambes (debout)",mymemory,true
375,"Leg Press on Hackenschmidt Machine","Presse à jambes sur machine Hackenschmidt",mymemory,true
373,"Leg Presses (narrow)","Presses pour les jambes (étroites)",mymemory,true
374,"Leg Presses (wide)","Presses pour les jambes (larges)",mymemory,true
371,"Leg Press","Presse à cuisse",wger,false
423,"Muscle up","Traction",mymemory,true
448,"Pendelay Rows","Lignes Pendelay",mymemory,true
484,"Rack Deadlift","Rack Deadlift",mymemory,true
478,"Push Press","Jeté Force",mymemory,true
445,"Pause Bench","Suspendre le banc",mymemory,true
465,"Preacher Curls","Boucles de prédicateur",mymemory,true
468,"Prone Scapular Retraction - Arms at Side","Rétraction scapulaire inclinée - Bras sur le côté",mymemory,true
454,"Pike Push Ups","Pompes piquées",wger,false
456,"Pistol Squat","Pistol squats gauches",wger,false
477,"Pull Ups on Machine","Tirer vers le haut sur la machine",mymemory,true
918,"Seated Dumbbell Side Lateral","Latéral côté haltère assis",mymemory,true
475,"Pull-ups","Tractions",wger,false
439,"Overhand Cable Curl","Overhand Cable Curl",mymemory,true
458,"Plank","Planche pour les avant-bras",wger,false
545,"Scissors","Ciseaux",mymemory,true
495,"Reverse Curl","Inversez.",mymemory,true
512,"Rowing seated, narrow grip","Rangées prise serrée neutre",wger,false
493,"Reverse Bar Curl","Boucle de barre inversée",mymemory,true
490,"Renegade Row","Renegade Row",mymemory,true
513,"Rowing, T-bar","Aviron, barre en T",mymemory,true
549,"Seated Triceps Press","Presse triceps assise",mymemory,true
919,"T-Bar row","Rangée de barre en T",mymemory,true
508,"Row","Rang",mymemory,true
510,"Rowing, Lying on Bench","Aviron, couché sur le banc",mymemory,true
501,"Ring Dips","Trempettes annulaires",mymemory,true
525,"Bent Over Rowing Reverse","Bent Over Rowing Reverse",mymemory,true
543,"Shoulder Press, on Machine","Appuyer sur l'épaule, sur la machine",mymemory,true
498,"Reverse Grip Bench Press","Presse de banc à poignée inversée",mymemory,true
538,"Incline Bench Press - Barbell","Presse pour banc incliné - Barbell",mymemory,true
1635,"Modified pulldown","Pulldown modifié",mymemory,true
1639,"Dumbbell Bent Over Face Pull","Tirage facial avec haltères buste penché",wger,false
1713,"Doorway Pectoral Stretch","Étirement pectoral de la porte",mymemory,true
539,"Incline Bench Press - MP","Développé Incliné aux Haltères",mymemory,true
562,"Shotgun Row","Rangée de fusils de chasse",mymemory,true
607,"Splinter Sit-ups","Sit-ups Splinter",mymemory,true
569,"Shoulder Press, on Multi Press","Appuyer sur l'épaule, sur la presse multiple",mymemory,true
591,"Sit-ups","Redressements assis",mymemory,true
920,"V-BAR PULL DOWNS","V-BAR PULL DOWNS",mymemory,true
567,"Shoulder Press, Dumbbells","Presse d'épaule, haltères",mymemory,true
566,"Shoulder Press, Barbell","Presse d'épaule, Barbell",mymemory,true
584,"Single-arm Preacher Curl","Boucle de prédicateur à un bras",mymemory,true
590,"Sitting Calf Raises","Élévations des mollets assis",mymemory,true
577,"Side Dumbbell Trunk Flexion","Flexion latérale du tronc de l'haltère",mymemory,true
583,"Side to Side Push Ups","Poussées d'un côté à l'autre",mymemory,true
598,"Smith Machine Close-grip Bench Press","Presse d'établi Smith Machine à prise serrée",mymemory,true
576,"Side Crunch","Exercice latéral :",mymemory,true
571,"Shrugs, Barbells","Haussements d'épaules, haltères",mymemory,true
575,"Shrugs on Multipress","Shrugs sur Multipress",mymemory,true
572,"Shrugs, Dumbbells","Haussements d'épaules, haltères",mymemory,true
595,"Skipping - Standard","Sauter - Standard",mymemory,true
570,"Shoulder Shrug","Haussement d'épaules",wger,false
580,"Side Plank","Planche latérale gauche",wger,false
556,"Side Bends on Machine","Coudes latérales sur la machine",mymemory,true
628,"Straight-arm Pull Down (bar Attachment)","Tirer le bras droit vers le bas (fixation de la barre)",mymemory,true
632,"Sumo Squats","Squats sumo",wger,false
629,"Straight-arm Pull Down (rope Attachment)","Tirer le bras droit vers le bas (attache de corde)",mymemory,true
630,"Sumo Deadlift","Soulèvement de Sumo",mymemory,true
616,"Squat Thrust","Poussées de squat",wger,false
627,"Stiff-legged Deadlifts","Deadlifts aux jambes raides",mymemory,true
622,"Standing Calf Raises","Élévation mollet machine",wger,false
614,"Squat Jumps","Sauts en squat",mymemory,true
615,"Squats","Accroupi",wger,false
621,"Standing Bicep Curl","Boucle du biceps debout",mymemory,true
655,"Tricep Dumbbell Kickback","Extension des avant-bras avec haltère",wger,false
660,"Triceps Extensions on Cable With Bar","Extensions de triceps sur câble avec barre",mymemory,true
636,"Superman","Surhomme",mymemory,true
661,"Triceps on Machine","Triceps sur machine",mymemory,true
675,"Turkish Get-Up","Récupération turque",mymemory,true
723,"Wide-grip Pulldown","Tirage vertical à prise large",mymemory,true
684,"Underhand Lat Pull Down","Sous-main Lat Pull Down",mymemory,true
922,"SEATED CABLE MID TRAP SHRUG","CÂBLE ASSIS À MI-PIÈGE HAUSSEMENT D'ÉPAULES",mymemory,true
694,"Upright Row w/ Dumbbells","Rangée verticale avec haltères",mymemory,true
974,"Curl with kettlebell two hands","Bouclez avec la kettlebell à deux mains",mymemory,true
683,"Power Clean","Power Clean",mymemory,true
702,"Calf raises, one legged","Lever du mollet gauche",wger,false
693,"Upright Row, SZ-bar","Rangée verticale, barre SZ",mymemory,true
713,"Wall Pushup","Poussée murale",mymemory,true
691,"Upright Row, on Multi Press","Rangée droite, sur presse multiple",mymemory,true
688,"Upper External Oblique","Oblique externe supérieur",mymemory,true
672,"Trunk Rotation With Cable","Rotation du tronc avec câble",mymemory,true
716,"Wall Slides","Glissières murales",mymemory,true
687,"Overhead Press","Développé militaire",mymemory,true
1027,"Elevated prayer stretch","Étirement de prière élevé",mymemory,true
1079,"Plate twist","Torsion de la plaque",mymemory,true
1080,"Hindu Pushups","Pompes hindoues",mymemory,true
1084,"Dumbbell Floor Press","Développé au sol avec haltères",mymemory,true
1085,"Dumbbell Bent Over Row","Haltère jambe pliée (gauche)",mymemory,true
1086,"Close-grip Press-ups","Press-ups à prise serrée",mymemory,true
1089,"Medicine ball twist","Torsade de balle médicinale",mymemory,true
1090,"Vpushup","Vpushup",mymemory,true
1091,"Plank Shoulter Taps","Robinets d'encrassement de planche",mymemory,true
1636,"Unilateral Cable row","Rangée de câbles unilatérale",mymemory,true
1640,"Dumbbell Front Squat","Squat avant avec haltères",wger,false
1641,"Kettlebell One Legged Deadlift","Soulevé de terre unilatéral",wger,false
1642,"Dumbbell Hip Thrust","Hip Thrust avec haltère",wger,false
1643,"Dumbbell Incline Fly","Écarté incliné avec haltères",wger,false
1644,"Dumbbell Decline Bench Press","Développé couché décliné",wger,false
1648,"Weighted Crunch","Crunch lesté",wger,false
1649,"Concentration Curl","Curl biceps avec haltère",wger,false
1650,"Dumbbell Side Bend","Flexion Latérale avec haltère",wger,false
1651,"Dumbbell Rear Lunge","Fente arrière avec haltères",wger,false
1653,"Dumbbell Side Squat","Squat latéral avec haltère",wger,false
1654,"Machine lateral wise","Machine latéralement",mymemory,true
1655,"Machine Chest Press Exercise","Exercice de presse thoracique de la machine",mymemory,true
1652,"Dumbbell Romanian Deadlift","Soulevé de terre roumain avec haltères",wger,false
911,"Incline Skull Crush","Skull Crusher incliné",wger,false
829,"Rear Delt Raise","Levage de delt arrière",mymemory,true
1093,"Rowing Machine","appareil à ramer",mymemory,true
1094,"Seated Bench Press","Presse à bancs assis",mymemory,true
1095,"Seated bench press","Presse à bancs assis",mymemory,true
1098,"Seated rear delt rise","Élévation du delt arrière assis",mymemory,true
1099,"Dynamic side hold","Maintien latéral dynamique",mymemory,true
1100,"Wall balls","Boules murales",mymemory,true
1101,"Horizontal traction isometry","Isométrie de traction horizontale",mymemory,true
1102,"Alternate back lunges","Alterner les fentes arrière",mymemory,true
1103,"walking bridge","pont piétonnier",mymemory,true
1104,"Walking","Marche à pied",mymemory,true
1105,"Seated Knee Tuck","Repli du genou assis",mymemory,true
