id,name,reason
5f7e9924-c05f-412e-be66-1d8b956f1a63,Arraché,"Duplicate of ""Arraché olympique"" — same barbell snatch, vaguer name"
c94e2e48-eaa4-47dd-8c54-fb9c9fbd4aa6,Développé épaules haltère,"Typo duplicate of ""Développé épaules haltères"" (singular vs plural)"
694d9958-4600-482e-a457-0f4eb0aa461c,Développé militaire barre,"Redundant — ""Développé militaire"" is the canonical name, ""barre"" is always implied"
c41c5bdd-a120-44ea-8c65-1e69cc062e2d,Développé couché barre (NB),"Unclear NB suffix — duplicate of canonical ""Développé couché"""
63636960-4e13-4e99-9023-015382a4b3b2,Élévation frontale poulie,"Generic — redundant with more specific ""Élévation frontale poulie petite barre"""
1d9ec576-63af-43e4-bd88-25bd76d9fdb9,Élévation mollets machine hack,"Name variant — same exercise as ""Élévation mollets machine hack squat"""
c00f6e5b-5ef4-49f4-9993-ae15ea125d94,Extension triceps poulie,"Generic — redundant with ""Extension triceps poulie barre"""
c1a15e26-2295-4d30-a68d-2e48a3ee557f,Épaulé développé barre,"Redundant — ""Épaulé développé"" is the canonical name, ""barre"" is always implied"
eb807a9b-c85c-41c5-b9ed-9b0ea7faf52c,Good morning,"Singular/plural duplicate of ""Good mornings"""
a4b51c8d-524f-4185-9b8e-70653dca3ac4,Leg curl,"Generic — redundant with ""Leg curl allongé"" (standing/banded variants exist separately)"
fc3def85-40c5-4087-bfdc-2476ecd9ec59,Marche,"Too generic — ""Walking"" is not a meaningful gym exercise"
0e821229-0ef7-4b6a-b089-50c194fb7efe,Pull-over haltère,"Bad instructions (""seated on chair"") — redundant with ""Pull-over haltère travers du banc"""
41242708-735e-4cae-a3ee-729fcf09bd81,Relevé de jambes,"Generic — redundant with ""Relevé de jambes allongé"" (other variants exist separately)"
acdf5453-af14-4e52-a9ed-633727e03996,Shrugs,"Bodyweight shrugs are not a real exercise — redundant with ""Shrugs haltères"""
beb0f33e-469e-4fc0-bcec-44c44dedde3a,Skull crusher barre EZ (NB),"Unclear NB suffix — duplicate of ""Skull crusher barre EZ"""
97b6544c-9644-45f7-beeb-a5586b63da77,Tirage bras tendus poulie,"Generic — redundant with ""Tirage bras tendus poulie (barre)"""
